total_loss,pde_loss,terminal_loss,VPP_penalty,grad_norm_f,control_loss,mean_integrand,grad_norm_g
0.0059569837,0.0007687002,0.0051828846,5.3987756e-06,0.07830721,82.84366,0.42057487,2.6367426
0.0058978214,0.0007577786,0.0051344056,5.637074e-06,0.08118963,81.735825,0.4193971,3.8328183
0.0058386773,0.0007467659,0.0050860094,5.9017325e-06,0.08102045,80.8465,0.4181069,4.4995766
0.0057798997,0.00073585135,0.005037835,6.2132044e-06,0.06739353,80.09888,0.4168517,3.4231353
0.0057224636,0.000726457,0.004989467,6.539053e-06,0.059273,79.50654,0.41571683,2.375496
0.0056670243,0.00071776373,0.0049424823,6.7781884e-06,0.057858523,79.01491,0.4147005,3.8223422
0.0056124297,0.000709444,0.0048960363,6.9496887e-06,0.057275254,78.543625,0.4137905,4.9170756
0.005558512,0.00069965934,0.0048517403,7.112311e-06,0.060899734,78.18327,0.41290313,4.385249
0.0055064145,0.0006913625,0.0048078876,7.1644135e-06,0.06799278,77.93245,0.41198808,2.7990806
0.0054555163,0.00068242283,0.00476605,7.0437495e-06,0.067918316,77.60062,0.4110247,2.6466293
0.005405931,0.00067465496,0.0047241347,7.141473e-06,0.06409041,77.41575,0.40997353,3.7205935
0.005355684,0.0006668243,0.004681767,7.093003e-06,0.059306435,77.17928,0.40893278,3.6531591
0.005305661,0.0006591629,0.0046393625,7.1356762e-06,0.05801041,76.97787,0.40789336,2.712184
0.0052572386,0.0006522082,0.0045979363,7.0939527e-06,0.05722864,76.839325,0.40685046,2.8825345
0.005209474,0.0006444485,0.004557986,7.039196e-06,0.054328065,76.67408,0.40586326,4.047131
0.005162285,0.0006360464,0.0045192586,6.9802545e-06,0.05304622,76.55595,0.4049742,4.415751
0.005116039,0.0006267642,0.0044823606,6.9141047e-06,0.052978776,76.503975,0.40412265,3.5534966
0.0050708563,0.0006179007,0.00444616,6.795336e-06,0.05596225,76.404106,0.4032751,2.6262343
0.00502625,0.00060893456,0.0044105607,6.7546584e-06,0.058791324,76.27802,0.40240166,2.9760113
0.0049825665,0.0006009686,0.0043748706,6.7271812e-06,0.06103782,76.25765,0.4014497,3.4057922
0.004938399,0.0005925434,0.0043392675,6.588096e-06,0.055198908,76.06938,0.40050718,2.9929743
0.004895003,0.0005857286,0.0043027312,6.5431923e-06,0.05243871,75.97608,0.39957514,2.6785247
0.0048524123,0.00057992036,0.0042659147,6.5770682e-06,0.050917443,75.82761,0.3986764,3.3515093
0.004810691,0.0005738046,0.0042303726,6.513463e-06,0.049940076,75.696976,0.3977973,3.9075053
0.004770247,0.0005692909,0.004194491,6.464646e-06,0.050997727,75.52378,0.39695752,3.6584115
0.0047302493,0.0005627041,0.0041611167,6.4286105e-06,0.050322235,75.327415,0.3961062,3.0425725
0.004690667,0.00055651367,0.004127667,6.4867468e-06,0.048323154,75.18474,0.39530376,2.944405
0.0046519586,0.000550531,0.0040950086,6.419162e-06,0.047392454,74.92768,0.39451754,3.1108203
0.0046133366,0.00054501067,0.004061808,6.51793e-06,0.05136724,74.83229,0.39371556,3.0782254
0.0045753885,0.00053943816,0.0040294807,6.469318e-06,0.055203635,74.66629,0.39282367,3.1441715
0.004537197,0.0005336194,0.0039970214,6.555998e-06,0.04909359,74.387886,0.39195517,3.4950747
0.004500454,0.00052884594,0.0039649657,6.6421485e-06,0.046449054,74.322876,0.39109477,3.7606738
0.0044646,0.0005238016,0.0039342167,6.581745e-06,0.044503044,74.07432,0.39028558,3.6457675
